task_id,output,acceptance,task_kind,build_tool,runtime_approach,eval_ids,event_ids,lever_ids
T-ACCOUNT-03,Independent permission fields and checks,Complimentary family adult has no admin API access,Creation,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-ACCOUNT-04,Unlimited grant semantics,Zero-balance publish succeeds without debit for approved adults,Creation,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-ACCOUNT-05,Atomic ledger fixture,First publish debits once; retry does not double debit,Pattern,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-ACCOUNT-06,"Grant log, owner and effective version",Only allowed admin can grant; existing publication policy preserved,Pattern,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-ACCOUNT-07,Two-account negative access tests,"Account A cannot read B’s people, drafts or assets",Pattern,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-ACCOUNT-08,Approved retention policy and implementation gap list,User knows which gifts persist; private data deletion is honored,Creation,M-SOL,Deterministic server policy,E-002,EV-038,L-023
T-EV-001,Versioned creator_started event emitter and fixture,Adult begins new card; required fields draft_id; entry_source; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-001,L-020
T-EV-002,Versioned interview_step_saved event emitter and fixture,Validated step saved server-side; required fields draft_id; step_id; elapsed_ms; answer_presence_flags; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-002,L-020
T-EV-003,Versioned interview_validation_failed event emitter and fixture,Validation blocks continue; required fields step_id; reason_code; field_key; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-003,L-020
T-EV-004,Versioned generation_requested event emitter and fixture,Server accepts idempotent job; required fields job_id; draft_version; model_route_version; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-004,L-020
T-EV-005,Versioned generation_completed event emitter and fixture,Validated asset bundle commits; required fields job_id; attempts; duration_ms; provider_usage_units; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-005,L-020
T-EV-006,Versioned generation_failed event emitter and fixture,Terminal failure or bounded retry; required fields job_id; reason_code; retryable; attempts; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-006,L-020
T-EV-007,Versioned review_decided event emitter and fixture,"Human accepts, edits or rejects candidate; required fields review_id; rubric_version; decision; defect_codes; elapsed_ms; dedupe and privacy checks pass",Pattern,M-LUNA,Schema-validated code,E-035,EV-007,L-020
T-EV-008,Versioned card_published event emitter and fixture,Immutable version becomes active; required fields card_id; card_version; entitlement_class; transaction_id; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-008,L-020
T-EV-009,Versioned card_opened event emitter and fixture,Authorized card payload first loads; required fields card_id; card_version; share_id; capability_bucket; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-009,L-020
T-EV-010,Versioned boot_started event emitter and fixture,Intro becomes visible; required fields card_id; intro_variant; reduced_motion; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-010,L-020
T-EV-011,Versioned boot_completed event emitter and fixture,Continue exits intro; required fields card_id; duration_ms; skip_used; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-011,L-020
T-EV-012,Versioned scene_entered event emitter and fixture,Scene active and visibly shown; required fields card_id; scene_id; scene_version; position; visit_id; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-012,L-020
T-EV-013,Versioned scene_exited event emitter and fixture,Visible scene leaves; required fields scene_id; visit_id; active_ms; reason; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-013,L-020
T-EV-014,Versioned scene_action event emitter and fixture,Accepted discrete input changes state; required fields scene_id; action_id; before_bucket; after_bucket; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-014,L-020
T-EV-015,Versioned scene_completed event emitter and fixture,First semantic completion per visit; required fields scene_id; visit_id; completion_rule_version; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-015,L-020
T-EV-016,Versioned navigation_used event emitter and fixture,Next/back/jump accepted; required fields from_scene; to_scene; method; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-016,L-020
T-EV-017,Versioned audio_requested event emitter and fixture,User explicitly requests audio; required fields asset_id; track_id; scene_id; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-017,L-020
T-EV-018,Versioned audio_started event emitter and fixture,Playback actually starts; required fields asset_id; start_delay_ms; source_type; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-018,L-020
T-EV-019,Versioned audio_stopped event emitter and fixture,"Stop, switch or background pause; required fields asset_id; position_ms; stop_reason; dedupe and privacy checks pass",Pattern,M-LUNA,Schema-validated code,E-035,EV-019,L-020
T-EV-020,Versioned audio_error event emitter and fixture,"Decode, policy or load failure; required fields asset_id; error_code; browser_bucket; dedupe and privacy checks pass",Pattern,M-LUNA,Schema-validated code,E-035,EV-020,L-020
T-EV-021,Versioned renderer_fallback event emitter and fixture,WebGL unavailable/lost or performance gate; required fields scene_id; reason_code; previous_renderer; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-021,L-020
T-EV-022,Versioned asset_load_result event emitter and fixture,Critical media load succeeds/fails; required fields asset_id; asset_version; result; bytes; elapsed_ms; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-022,L-020
T-EV-023,Versioned card_completed event emitter and fixture,Finale reached per defined completion rule; required fields card_id; card_version; active_ms; scenes_completed; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-023,L-020
T-EV-024,Versioned share_maker_opened event emitter and fixture,Adult opens share maker; required fields card_id; scene_id_or_whole; origin; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-024,L-020
T-EV-025,Versioned share_preview_ready event emitter and fixture,Privacy-safe preview rendered; required fields export_id; recipe_version; format; render_ms; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-025,L-020
T-EV-026,Versioned share_export_started event emitter and fixture,Confirmed export starts; required fields export_id; recipe_version; media_type; dimensions; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-026,L-020
T-EV-027,Versioned share_export_completed event emitter and fixture,Valid downloadable file ready; required fields export_id; duration_ms; bytes; media_duration_ms; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-027,L-020
T-EV-028,Versioned share_export_failed event emitter and fixture,Export exhausted retry or failed validation; required fields export_id; failure_code; retry_count; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-028,L-020
T-EV-029,Versioned share_handoff_requested event emitter and fixture,User invokes OS share sheet; required fields export_id; share_id; capability_bucket; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-029,L-020
T-EV-030,Versioned share_handoff_resolved event emitter and fixture,Web Share promise resolves; required fields export_id; share_id; target_unknown=true; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-030,L-020
T-EV-031,Versioned share_handoff_cancelled event emitter and fixture,User cancels share or API aborts; required fields export_id; reason_code; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-031,L-020
T-EV-032,Versioned download_offered event emitter and fixture,Download link handed to browser; required fields export_id; format; fallback_reason; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-032,L-020
T-EV-033,Versioned link_copied event emitter and fixture,Clipboard success confirmed; required fields share_id; scene_id_or_whole; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-033,L-020
T-EV-034,Versioned referral_landing event emitter and fixture,Allowed share link resolves to public product page; required fields share_id; source_recipe; campaign_id; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-034,L-020
T-EV-035,Versioned feedback_submitted event emitter and fixture,Adult opt-in feedback stored; required fields feedback_id; card_id; rating_code; defect_codes; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-035,L-020
T-EV-036,Versioned privacy_gate_result event emitter and fixture,Authorization or PIN decision server-side; required fields card_id; result; reason_code; attempt_bucket; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-036,L-020
T-EV-037,Versioned upload_validated event emitter and fixture,Upload scan and type checks finish; required fields upload_id; type_bucket; result; bytes; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-037,L-020
T-EV-038,Versioned entitlement_checked event emitter and fixture,Server resolves creator permission; required fields account_pseudonym; cohort; grant_type; result; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-038,L-020
T-EV-039,Versioned credit_ledger_written event emitter and fixture,Atomic debit or compensating entry; required fields ledger_id; publish_id; delta; reason_code; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-039,L-020
T-EV-040,Versioned model_decision event emitter and fixture,Typed decision schema validates; required fields decision_id; question_version; model_version; route; score_bucket; fallback; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-040,L-020
T-EV-041,Versioned human_override event emitter and fixture,Reviewer changes proposed decision; required fields decision_id; override_class; corrected_label_ref; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-041,L-020
T-EV-042,Versioned model_call_finished event emitter and fixture,Provider call returns or fails; required fields job_id; model_revision; latency_ms; usage_units; billed_cost; currency; outcome; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-042,L-020
T-EV-043,Versioned experiment_exposed event emitter and fixture,Eligible assigned variant actually rendered; required fields experiment_id; variant; assignment_version; cohort; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-043,L-020
T-EV-044,Versioned experiment_stopped event emitter and fixture,Kill switch/stop decision recorded; required fields experiment_id; reason_code; policy_version; approver_id; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-044,L-020
T-EV-045,Versioned release_activated event emitter and fixture,Approved release version becomes active; required fields release_id; previous_version; approval_id; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-045,L-020
T-EV-046,Versioned rollback_completed event emitter and fixture,Prior working state restored and checked; required fields release_id; restored_version; incident_id; elapsed_ms; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-046,L-020
T-EV-047,Versioned agent_run_finished event emitter and fixture,Run reaches completed/blocked/cancelled; required fields agent_id; run_id; spec_version; tool_calls; budget; result; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-047,L-020
T-EV-048,Versioned review_queue_changed event emitter and fixture,"Item enters, assigned or resolved; required fields review_id; age_ms; severity; owner_id; result; dedupe and privacy checks pass",Pattern,M-LUNA,Schema-validated code,E-035,EV-048,L-020
T-EV-049,Versioned eval_run_finished event emitter and fixture,Versioned evaluation completes; required fields eval_run_id; suite_version; dataset_hash; model_revision; result; evidence_ref; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-049,L-020
T-EV-050,Versioned data_request_completed event emitter and fixture,Approved access/export/deletion fulfilled; required fields request_id; scope; operation; result; completed_at; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-050,L-020
T-EV-051,Versioned telemetry_rejected event emitter and fixture,Schema or consent rejects event; required fields event_type; reason_code; schema_version; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-051,L-020
T-EV-052,Versioned performance_sample event emitter and fixture,Sampled active page timing emitted; required fields scene_id; lcp_ms; inp_ms; cls; long_tasks; renderer; device_bucket; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-052,L-020
T-EV-053,Versioned error_captured event emitter and fixture,Sanitized runtime exception recorded; required fields error_fingerprint; release; scene_id; severity; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-053,L-020
T-EV-054,Versioned draft_saved event emitter and fixture,Versioned draft save succeeds; required fields draft_id; draft_version; conflict_result; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-054,L-020
T-EV-055,Versioned reminder_consent_changed event emitter and fixture,Adult explicitly opts in/out; required fields account_pseudonym; channel; result; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-055,L-020
T-EV-056,Versioned support_case_resolved event emitter and fixture,Case closed with reason and verified outcome; required fields case_id; category; active_minutes; resolution_code; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-056,L-020
T-EV-057,Versioned music_rights_checked event emitter and fixture,Evidence checked before asset publication; required fields asset_id; evidence_id; policy_version; approved; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-057,L-020
T-EV-058,Versioned tag_link_resolved event emitter and fixture,QR/NFC tag resolves to permitted card; required fields tag_id_hash; card_id; channel; result; dedupe and privacy checks pass,Pattern,M-LUNA,Schema-validated code,E-035,EV-058,L-020
T-GEN-01,Canonical structured fact object with provenance,Missing facts remain missing; user can inspect inputs,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-02,8–10 typed scenes with role and asset requirements,No arbitrary generated code in recipient browser,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-03,Versioned prompt/template per scene type,"Validate facts, tone, length and prohibited subjects",Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-04,Schema validation and explicit repair limit,Invalid outputs never silently publish,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-05,Queued/running/review/failed/completed states,Refresh resumes progress and cancellation is honest,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-06,"Job keys, backoff and timeout policy",Duplicate requests cannot duplicate billed work or publish,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-07,Normalized request/result/error contract,Model swap does not change card data schema,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-08,Account/content/version-scoped reusable assets,No personalized content crosses household boundaries,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-09,Every attempt logged with units and currency,Failed calls and retries are included,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-10,Transparent delay/fallback route,No promise of real instant song when unavailable,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-11,Immutable asset versions and review decisions,Review edits do not mutate previous published cards,Creation,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-GEN-12,Paired quality/cost/latency evidence,Promote cheapest route that meets all quality gates,Pattern,M-ASTRA,M-SOL candidate through provider adapter,E-030,EV-005,L-015
T-INTERVIEW-01,Step graph and required field contract,"Adult giver, occasion, recipient, tone and privacy appear in clear order",Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-02,"First-name/alias, age band if needed and interests",No precise birthdate or child contact needed by default,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-03,Reuse/edit/delete controls,Reused facts show provenance and can be corrected,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-04,Text pronunciation field with preview,Name used correctly in copy/song without identity inference,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-05,Optional fact slots with examples,Sparse answers still produce a valid kind card,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-06,Adult-selected subjects and details to avoid,Exclusions propagate into every generation request,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-07,Safe validation and normalization,Untrusted answers cannot alter system permissions or render HTML,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-08,Versioned draft autosave,Interrupted network and competing tab preserve approved draft,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-09,Accessible interview navigation,No answer is lost when moving backward,Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-INTERVIEW-10,Friction findings and task timings,"Record real behavior and corrections, not guessed completion rate",Creation,M-SOL,Rules first; semantic follow-up candidate M-JEV,E-004,EV-002,L-014
T-PLAYER-01,"Schema for identity, scenes, assets, privacy and provenance",Unknown scene types reject safely,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-02,"Manifest of render, interact, complete, export and cleanup hooks",Each scene declares supported media and input methods,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-03,One active scene with stable IDs,Navigation buttons implement requested slideshow behavior,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-04,Accessible next/back plus deliberate swipe handling,Gestures never steal game controls or keyboard focus,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-05,Versioned per-viewer session state,Replay resets only intended counters; no shared progress implied,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-06,"Timers, audio nodes, observers and renderers disposed",Offscreen scenes do not play audio or consume animation loops,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-07,Validated scene route after privacy gate,Unknown scenes fall back safely; no private metadata leak,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-08,Definition of scene versus whole-card completion,Skipping does not falsely mark a game completed,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-09,Error boundary and useful substitute content,One failed optional asset cannot break the whole card,Creation,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PLAYER-10,"Phone landscape/portrait, desktop and back navigation","No clipped controls, focus trap or unexpected reset",Pattern,M-ASTRA,Deterministic state machine,E-006,EV-016,L-003
T-PUBLISH-01,Candidate-to-approved state graph,Creator can correct any scene before publishing,Pattern,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-02,Draft version differs from published version,Editing draft leaves existing gift unchanged,Pattern,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-03,Publish transaction with idempotency key,"One publish, at most one courtesy/paid debit",Pattern,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-04,Adult-approved version replacement,Restored JSON references available asset versions,Creation,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-05,Actual server/page/asset access tests,No protection from noindex alone,Pattern,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-06,"Root, deep links, assets, OG and export denied",A revoked token cannot retrieve content,Pattern,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-07,Fresh phone without account,Privacy gate works without requiring child registration,Pattern,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-PUBLISH-08,Copy/send handoff separated from actual opens,No message sent or gift delivered claim without evidence,Creation,M-SOL,Server transactions and policy,E-029,EV-008,L-024
T-TELEM-01,Current event/network/storage map,No duplicate analytics vendors or hidden payload collection,Pattern,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-02,Schema registry with version and correlation IDs,Every business event carries correct environment/cohort,Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-03,Purpose/consent/retention decision,Disabling optional analytics leaves essential operations safe,Pattern,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-04,Server allowlist and canary tests,"No raw lyrics, names, photos, PINs or secrets in events",Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-05,Stable event IDs and bounded queue,No double-counting or unbounded local data,Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-06,Correlation map,One finished card’s production cost can be reconstructed,Pattern,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-07,Staff/test/free/paid/bot flags,Public conversion excludes founder/family and synthetic use,Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-08,Metrics registry queries,Unique accounts/cards/sessions use correct units,Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-09,Approved log TTLs and deletion strategy,Operational logs do not become permanent child profiles,Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-TELEM-10,Heartbeat and schema rejection monitors,No silent healthy zero from absent collection,Creation,M-SOL,First-party event pipeline,E-035,EV-051,L-020
T-A-001,Versioned Code asset or reusable definition with provenance,"Replace with Tapcard/favicon; preserve license; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-002,Versioned Font asset or reusable definition with provenance,"Check font license; readable alternate; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-003,Versioned Font asset or reusable definition with provenance,"Check license and embed/capture correctly; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-004,Versioned Font asset or reusable definition with provenance,"Reserve for accents; accessible body font; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-005,Versioned Font asset or reusable definition with provenance,"Body copy; load before export; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-006,Versioned Font asset or reusable definition with provenance,"Terminal/caption font; export subset; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-007,Versioned CSS asset or reusable definition with provenance,"Version as theme tokens; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-008,Versioned CSS asset or reusable definition with provenance,"Optional effect; static export decision; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-009,Versioned Canvas asset or reusable definition with provenance,"Seeded deterministic export; cap particles; link manifest, permission decision and actual preview",Creation,M-IMAGE,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-010,Versioned Code library asset or reusable definition with provenance,"Pin version and license; fallback if unavailable; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-011,Versioned CSS asset or reusable definition with provenance,"370px desktop, 300px mobile base; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-012,Versioned 3D code asset or reusable definition with provenance,"5 source-defined stages; GPU visuals unverified; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-013,Versioned SVG asset or reusable definition with provenance,"Adapt to safe adventure; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-014,Versioned 3D geometry asset or reusable definition with provenance,"Reusable mesh/material definitions; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-015,Versioned SVG asset or reusable definition with provenance,"Safe pet/mascot variants; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-016,Versioned 3D geometry asset or reusable definition with provenance,"Reference construction; evaluate actual GPU rendering; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-017,Versioned SVG asset or reusable definition with provenance,"Playful capability display without real measurement; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-018,Versioned CSS asset or reusable definition with provenance,"Playback state and export art; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-019,Versioned Recorded audio asset or reusable definition with provenance,"Loaded metadata 155.9735 seconds; rights unknown; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-020,Versioned Recorded audio asset or reusable definition with provenance,"Declared alternative only; availability not separately tested; link manifest, permission decision and actual preview",Judgment,M-HUMAN,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-021,Versioned Text asset or reusable definition with provenance,"Adult reference; replace with approved original text; link manifest, permission decision and actual preview",Creation,M-IMAGE,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-022,Versioned Procedural audio asset or reusable definition with provenance,"Instrumental procedural audio; no sung voice; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
T-A-023,Versioned Procedural audio asset or reusable definition with provenance,"Review arrangement rights; source comment is not proof; link manifest, permission decision and actual preview",Creation,M-SOL,Prepared asset; deterministic playback,E-024; E-034,EV-022,L-019
