task_id,phase,area,component_id,task,proposed_owner,status,size,depends_on,priority
T-EV-030,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_handoff_resolved,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-031,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test share_handoff_cancelled,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-032,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test download_offered,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-033,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test link_copied,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-034,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test referral_landing,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-035,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test feedback_submitted,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-036,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test privacy_gate_result,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-037,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test upload_validated,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-038,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test entitlement_checked,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-039,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test credit_ledger_written,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-040,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test model_decision,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-041,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test human_override,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-042,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test model_call_finished,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-043,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test experiment_exposed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-044,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test experiment_stopped,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-045,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test release_activated,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-046,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test rollback_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-047,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test agent_run_finished,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-048,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test review_queue_changed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-049,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test eval_run_finished,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-050,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test data_request_completed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-051,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test telemetry_rejected,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-052,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test performance_sample,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-053,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test error_captured,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-054,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test draft_saved,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-055,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test reminder_consent_changed,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-056,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test support_case_resolved,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-057,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test music_rights_checked,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-EV-058,P1 Shared foundation,Event implementation,C-TELEM,Instrument and contract-test tag_link_resolved,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-04,P1
T-GEN-01,P1 Shared foundation,Generation pipeline,C-GEN,Normalize approved interview facts,Brian Lapp,Backlog,S: 1–2h proposed,T-004,P0
T-GEN-02,P1 Shared foundation,Generation pipeline,C-GEN,Compose a bounded card outline,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-01,P0
T-GEN-03,P1 Shared foundation,Generation pipeline,C-GEN,Generate copy against explicit scene contracts,Brian Lapp,Backlog,M: 2–4h proposed,T-GEN-02,P0
T-GEN-04,P1 Shared foundation,Generation pipeline,C-GEN,Validate and repair JSON within bounded attempts,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-03,P0
T-GEN-05,P1 Shared foundation,Generation pipeline,C-GEN,Build asynchronous job states,Brian Lapp,Backlog,M: 2–4h proposed,T-GEN-04,P0
T-GEN-06,P1 Shared foundation,Generation pipeline,C-GEN,Apply idempotency and bounded retries,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-05,P0
T-GEN-07,P1 Shared foundation,Generation pipeline,C-GEN,Add provider adapter and version pinning,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-06,P0
T-GEN-08,P1 Shared foundation,Generation pipeline,C-GEN,Implement scoped cache keys,Brian Lapp,Backlog,M: 2–4h proposed,T-GEN-07,P0
T-GEN-09,P1 Shared foundation,Generation pipeline,C-GEN,Capture supplier usage and actual cost,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-08,P0
T-GEN-10,P1 Shared foundation,Generation pipeline,C-GEN,Handle provider outage and manual completion,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-09,P0
T-GEN-11,P1 Shared foundation,Generation pipeline,C-GEN,Separate candidate draft from accepted output,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-10,P0
T-GEN-12,P1 Shared foundation,Generation pipeline,C-GEN,Compare low-cost model cascade on fixed cases,Brian Lapp,Backlog,S: 1–2h proposed,T-GEN-11,P0
T-INTERVIEW-01,P1 Shared foundation,Creator interview,C-INTERVIEW,Map the beginning-to-publish interview steps,Tim Miller,Backlog,S: 1–2h proposed,T-004,P0
T-INTERVIEW-02,P1 Shared foundation,Creator interview,C-INTERVIEW,Specify minimum recipient data,Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-01,P0
T-INTERVIEW-03,P1 Shared foundation,Creator interview,C-INTERVIEW,Support saved people with explicit adult control,Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-02,P0
T-INTERVIEW-04,P1 Shared foundation,Creator interview,C-INTERVIEW,Collect pronunciation as optional structured guidance,Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-03,P0
T-INTERVIEW-05,P1 Shared foundation,Creator interview,C-INTERVIEW,Collect relationship and affectionate stories,Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-04,P0
T-INTERVIEW-06,P1 Shared foundation,Creator interview,C-INTERVIEW,Add content exclusions and surprise boundaries,Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-05,P0
T-INTERVIEW-07,P1 Shared foundation,Creator interview,C-INTERVIEW,Implement input length/type and injection boundaries,Tim Miller,Backlog,M: 2–4h proposed,T-INTERVIEW-06,P0
T-INTERVIEW-08,P1 Shared foundation,Creator interview,C-INTERVIEW,Implement save/resume and conflict handling,Tim Miller,Backlog,M: 2–4h proposed,T-INTERVIEW-07,P0
T-INTERVIEW-09,P1 Shared foundation,Creator interview,C-INTERVIEW,"Show progress, back and skip-optional controls",Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-08,P0
T-INTERVIEW-10,P1 Shared foundation,Creator interview,C-INTERVIEW,Run five uncoached adult interview sessions,Tim Miller,Backlog,S: 1–2h proposed,T-INTERVIEW-09,P0
T-PLAYER-01,P1 Shared foundation,Shared slideshow player,C-PLAYER,Define the versioned card JSON schema,Brian Lapp,Backlog,S: 1–2h proposed,T-004,P0
T-PLAYER-02,P1 Shared foundation,Shared slideshow player,C-PLAYER,Create the scene capability registry,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-01,P0
T-PLAYER-03,P1 Shared foundation,Shared slideshow player,C-PLAYER,Build next/back/jump state transitions,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-02,P0
T-PLAYER-04,P1 Shared foundation,Shared slideshow player,C-PLAYER,Add keyboard and touch navigation,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-03,P0
T-PLAYER-05,P1 Shared foundation,Shared slideshow player,C-PLAYER,Preserve local play state deliberately,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-04,P0
T-PLAYER-06,P1 Shared foundation,Shared slideshow player,C-PLAYER,Pause and clean up inactive scene work,Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-05,P0
T-PLAYER-07,P1 Shared foundation,Shared slideshow player,C-PLAYER,Implement authorized scene deep links,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-06,P0
T-PLAYER-08,P1 Shared foundation,Shared slideshow player,C-PLAYER,"Add progress, replay and completion semantics",Brian Lapp,Backlog,S: 1–2h proposed,T-PLAYER-07,P0
T-PLAYER-09,P1 Shared foundation,Shared slideshow player,C-PLAYER,Implement scene errors and missing asset fallbacks,Brian Lapp,Backlog,M: 2–4h proposed,T-PLAYER-08,P0
T-PLAYER-10,P1 Shared foundation,Shared slideshow player,C-PLAYER,Verify responsive layout and browser history,Brian Lapp,To verify,S: 1–2h proposed,T-PLAYER-09,P0
T-PUBLISH-01,P1 Shared foundation,Preview and publishing,C-PUBLISH,"Verify preview, edit and explicit approval flow",Brian Lapp,To verify,S: 1–2h proposed,T-004,P0
T-PUBLISH-02,P1 Shared foundation,Preview and publishing,C-PUBLISH,Verify immutable live snapshot,Brian Lapp,To verify,S: 1–2h proposed,T-PUBLISH-01,P0
T-PUBLISH-03,P1 Shared foundation,Preview and publishing,C-PUBLISH,Verify atomic first publish and entitlement check,Brian Lapp,To verify,S: 1–2h proposed,T-PUBLISH-02,P0
T-PUBLISH-04,P1 Shared foundation,Preview and publishing,C-PUBLISH,Implement republish and previous-version restore,Brian Lapp,Backlog,M: 2–4h proposed,T-PUBLISH-03,P0
T-PUBLISH-05,P1 Shared foundation,Preview and publishing,C-PUBLISH,Test PIN/private/unlisted semantics already claimed,Brian Lapp,Backlog,S: 1–2h proposed,T-PUBLISH-04,P0
T-PUBLISH-06,P1 Shared foundation,Preview and publishing,C-PUBLISH,Verify share revocation and cache invalidation,Brian Lapp,To verify,S: 1–2h proposed,T-PUBLISH-05,P0
T-PUBLISH-07,P1 Shared foundation,Preview and publishing,C-PUBLISH,Test signed-out recipient experience,Brian Lapp,Backlog,S: 1–2h proposed,T-PUBLISH-06,P0
T-PUBLISH-08,P1 Shared foundation,Preview and publishing,C-PUBLISH,Clarify delivery confirmation,Brian Lapp,Backlog,S: 1–2h proposed,T-PUBLISH-07,P0
T-TELEM-01,P1 Shared foundation,Telemetry foundation,C-TELEM,Audit existing telemetry before adding SDKs,Brian Lapp,To verify,S: 1–2h proposed,T-004,P0
T-TELEM-02,P1 Shared foundation,Telemetry foundation,C-TELEM,Define common event envelope and naming,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-01,P0
T-TELEM-03,P1 Shared foundation,Telemetry foundation,C-TELEM,Separate operational audit from optional analytics,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-02,P0
T-TELEM-04,P1 Shared foundation,Telemetry foundation,C-TELEM,Implement schema validation and PII rejection,Brian Lapp,Backlog,M: 2–4h proposed,T-TELEM-03,P0
T-TELEM-05,P1 Shared foundation,Telemetry foundation,C-TELEM,Implement dedupe and offline retry,Brian Lapp,Backlog,M: 2–4h proposed,T-TELEM-04,P0
T-TELEM-06,P1 Shared foundation,Telemetry foundation,C-TELEM,Link job/decision/review/export/outcome traces,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-05,P0
T-TELEM-07,P1 Shared foundation,Telemetry foundation,C-TELEM,Define environment and cohort exclusions,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-06,P0
T-TELEM-08,P1 Shared foundation,Telemetry foundation,C-TELEM,Create funnel aggregations with explicit denominators,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-07,P0
T-TELEM-09,P1 Shared foundation,Telemetry foundation,C-TELEM,Add retention/access and deletion propagation,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-08,P0
T-TELEM-10,P1 Shared foundation,Telemetry foundation,C-TELEM,Set missing-event/error-budget alerts,Brian Lapp,Backlog,S: 1–2h proposed,T-TELEM-09,P0
T-A-001,P2 Card experience,Asset preparation,C-SCOPE,Prepare the production-safe Inline bone favicon asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-002,P2 Card experience,Asset preparation,C-THEME,Prepare the production-safe Rubik Glitch asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-003,P2 Card experience,Asset preparation,C-THEME,Prepare the production-safe Big Shoulders Display 700/900 asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-004,P2 Card experience,Asset preparation,C-THEME,Prepare the production-safe Permanent Marker asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-005,P2 Card experience,Asset preparation,C-THEME,Prepare the production-safe Chivo 400/700 italic asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-006,P2 Card experience,Asset preparation,C-THEME,Prepare the production-safe Red Hat Mono 400/700 asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-007,P2 Card experience,Asset preparation,C-THEME,Prepare the production-safe Neon palette and paper/tape textures asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-008,P2 Card experience,Asset preparation,C-BOOT,Prepare the production-safe CRT scanlines and vignette asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-009,P2 Card experience,Asset preparation,C-FIN,Prepare the production-safe Confetti canvas particles asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-010,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe Three.js module asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-011,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe Arcade stages stylesheet asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-012,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe Arcade geometry and scene code asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-013,P2 Card experience,Asset preparation,C-INC,Prepare the production-safe Rider/board/curb/cast SVG asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-014,P2 Card experience,Asset preparation,C-INC,Prepare the production-safe Low-poly human and board asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-015,P2 Card experience,Asset preparation,C-PET,Prepare the production-safe Dog SVG and speech bubble asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-016,P2 Card experience,Asset preparation,C-PET,"Prepare the production-safe Low-poly dog, collar, ball, platform asset",Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-017,P2 Card experience,Asset preparation,C-GAUGE,Prepare the production-safe Needle and gauge labels asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-018,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Cassette and 16 pads asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-019,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Brian full recording asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-020,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Brian fallback recording asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-021,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe 12 Side A lyric lines asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-022,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Side A beat composition asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-023,P2 Card experience,Asset preparation,C-MUSIC,Prepare the production-safe Side B arrangement asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-024,P2 Card experience,Asset preparation,C-REPS,"Prepare the production-safe Arm, cast and dumbbell SVG asset",Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-025,P2 Card experience,Asset preparation,C-REPS,Prepare the production-safe Low-poly human and weights asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-026,P2 Card experience,Asset preparation,C-FUEL,"Prepare the production-safe Cup, clip path, liquid and steam asset",Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-027,P2 Card experience,Asset preparation,C-FUEL,"Prepare the production-safe 3D mug, labels and steam asset",Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-028,P2 Card experience,Asset preparation,C-CHART,Prepare the production-safe Three chart curves and labels asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-029,P2 Card experience,Asset preparation,C-CERT,Prepare the production-safe Seal/paper/stamp/memo asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-030,P2 Card experience,Asset preparation,C-FIN,"Prepare the production-safe Cake, nine candles, flames and smoke asset",Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-031,P2 Card experience,Asset preparation,C-FIN,"Prepare the production-safe 3D cake, flames and platform asset",Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-032,P2 Card experience,Asset preparation,C-END,Prepare the production-safe Handwritten note and signatures asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-1,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe jitter asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-10,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe needle transform asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-11,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe bicep/forearm transform asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-12,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe paper/stamp/memo transitions asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
T-A-MOTION-13,P2 Card experience,Asset preparation,C-PLAYER,Prepare the production-safe 3D pointer parallax asset,Tim Miller,Backlog,S: 1–2h proposed,T-005,P1
